Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	ASK+PSK+MIFARE	ASK+FSK+MIFARE	FSK	FSK_CUSTOMERPN	FSK_PN	MIFARE	MIFARE_CUSTOMERPN	MIFARE_PN	PASSIVO	PN1	PSK	PSK_CUSTOMERPN	PSK_PN	SPECIAL
R6	2.2k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/2.2k/5%/04	RC1005J222CS	1	1	X	R/2.2k/5%/04	RC1005J222CS	X	R/2.2k/5%/04	RC1005J222CS	Sim		X	R/2.2k/5%/04	RC1005J222CS	
R7	4.7k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/4.7k/5%/04	RC0402JR-074K7L	1	1	X	R/4.7k/5%/04	RC0402JR-074K7L	X	R/4.7k/5%/04	RC0402JR-074K7L	Sim		X	R/4.7k/5%/04	RC0402JR-074K7L	
R8	0	R-US_R0402	R0402	RESISTOR, American symbol	X	R/0/0%/04	RC1005J000CS	1	1	X	R/0/0%/04	RC1005J000CS	X	R/0/0%/04	RC1005J000CS	Sim		X	R/0/0%/04	RC1005J000CS	
R9	10	R-US_R0603	R0603	RESISTOR, American symbol	X	R/10/5%/06	RC1608J100CS	1	1	X	R/10/5%/06	RC1608J100CS	X	R/10/5%/06	RC1608J100CS	Sim		X	R/10/5%/06	RC1608J100CS	
R10	10	R-US_R0603	R0603	RESISTOR, American symbol	X	R/10/5%/06	RC1608J100CS	1	1	X	R/10/5%/06	RC1608J100CS	X	R/10/5%/06	RC1608J100CS	Sim		X	R/10/5%/06	RC1608J100CS	
R11	91k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/91k/5%/04	RC1005J913CS	1	1	X	R/91k/5%/04	RC1005J913CS	X	R/91k/5%/04	RC1005J913CS	Sim		X	R/91k/5%/04	RC1005J913CS	
R12	13k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/13k/5%/04	RC1005J133CS	1	1	X	R/13k/5%/04	RC1005J133CS	X	R/13k/5%/04	RC1005J133CS	Sim		X	R/13k/5%/04	RC1005J133CS	
R13	91k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/91k/5%/04	RC1005J913CS	1	1	X	R/91k/5%/04	RC1005J913CS	X	R/91k/5%/04	RC1005J913CS	Sim		X	R/91k/5%/04	RC1005J913CS	
R14	13k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/13k/5%/04	RC1005J133CS	1	1	X	R/13k/5%/04	RC1005J133CS	X	R/13k/5%/04	RC1005J133CS	Sim		X	R/13k/5%/04	RC1005J133CS	
R15	1M	R-US_R1206	R1206	RESISTOR, American symbol	X	R/1M/5%/12	RC3216J105CS	1	1	X	R/1M/5%/12	RC3216J105CS	X	R/1M/5%/12	RC3216J105CS	Sim		X	R/1M/5%/12	RC3216J105CS	
R16	100k	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100K/5%/06	RC0603JR-07100KL	1	1	X	R/100K/5%/06	RC0603JR-07100KL	X	R/100K/5%/06	RC0603JR-07100KL	Sim		X	R/100K/5%/06	RC0603JR-07100KL	
R17	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL	1	1	X	R/1K/5%/04	RC0402JR-071KL	X	R/1K/5%/04	RC0402JR-071KL	Sim		X	R/1K/5%/04	RC0402JR-071KL	
R18	27k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/27k/1%/04	RC1005F273CS	1	1	X	R/27k/1%/04	RC1005F273CS	X	R/27k/1%/04	RC1005F273CS	Sim		X	R/27k/1%/04	RC1005F273CS	
R19	9.1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/9.1k/5%/04	RC1005J912CS	1	1	X	R/9.1k/5%/04	RC1005J912CS	X	R/9.1k/5%/04	RC1005J912CS	Sim		X	R/9.1k/5%/04	RC1005J912CS	
R20	9.1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/9.1k/5%/04	RC1005J912CS	1	1	X	R/9.1k/5%/04	RC1005J912CS	X	R/9.1k/5%/04	RC1005J912CS	Sim		X	R/9.1k/5%/04	RC1005J912CS	
R21	F:5.1kP:5.6k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/5.1k/5%/04	RC1005F512CS				Sim		X	R/5.6k/5%/04	RC1005F562CS	
R22	9.1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/9.1k/5%/04	RC1005J912CS	1	1	X	R/9.1k/5%/04	RC1005J912CS	X	R/9.1k/5%/04	RC1005J912CS	Sim		X	R/9.1k/5%/04	RC1005J912CS	
R23	F:7.5kP:5.1k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/7.5k/5%/04	RC1005F752CS				Sim		X	R/5.1k/5%/04	RC1005F512CS	
R24	0	R-US_R0402	R0402	RESISTOR, American symbol	X	R/0/0%/04	RC1005J000CS	1	1	X	R/0/0%/04	RC1005J000CS	X	R/0/0%/04	RC1005J000CS	Sim		X	R/0/0%/04	RC1005J000CS	
R25	13k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/13k/5%/04	RC1005J133CS	1	1	X	R/13k/5%/04	RC1005J133CS	X	R/13k/5%/04	RC1005J133CS	Sim		X	R/13k/5%/04	RC1005J133CS	
R26	9.1k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/9.1k/5%/04	RC1005J912CS				Sim		X	R/9.1k/5%/04	RC1005J912CS	
R27	F:180kP:270k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/180k/5%/04	RC1005J184CS				Sim		X	R/270k/5%/04	RC1005F274CS	
R28	27k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/27k/1%/04	RC1005F273CS				Sim		X	R/27k/1%/04	RC1005F273CS	
R29	470	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/470/5%/04	RC1005J471CS				Sim		X	R/470/5%/04	RC1005J471CS	
R30	27k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/27k/1%/04	RC1005F273CS				Sim		X	R/27k/1%/04	RC1005F273CS	
R31	F:180kP:270k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/180k/5%/04	RC1005J184CS				Sim		X	R/270k/5%/04	RC1005F274CS	
R32	27k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/27k/1%/04	RC1005F273CS				Sim		X	R/27k/1%/04	RC1005F273CS	
R33	0	R-US_R0402	R0402	RESISTOR, American symbol	X	R/0/0%/04	RC1005J000CS	1	1	X	R/0/0%/04	RC1005J000CS	X	R/0/0%/04	RC1005J000CS	Sim		X	R/0/0%/04	RC1005J000CS	
R34	27k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/27k/1%/04	RC1005F273CS				Sim		X	R/27k/1%/04	RC1005F273CS	
R35	F:5.1kP:5.6k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/5.1k/5%/04	RC1005F512CS				Sim		X	R/5.6k/5%/04	RC1005F562CS	
R36	F:7.5kP:5.1k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/7.5k/5%/04	RC1005F752CS				Sim		X	R/5.1k/5%/04	RC1005F512CS	
R37	27k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/27k/1%/04	RC1005F273CS				Sim		X	R/27k/1%/04	RC1005F273CS	
R38	100	R-US_R0603	R0603	RESISTOR, American symbol				1	1	X	R/100/5%/06	RC1005J101CS				Sim		X	R/100/5%/06	RC1005J101CS	
R39	F:7.5kP:5.1k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/7.5k/5%/04	RC1005F752CS				Sim		X	R/5.1k/5%/04	RC1005F512CS	
R40	F:5.1kP:5.6k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/5.1k/5%/04	RC1005F512CS				Sim		X	R/5.6k/5%/04	RC1005F562CS	
R41	F:180kP:270k	R-US_R0402	R0402	RESISTOR, American symbol				1	1	X	R/180k/5%/04	RC1005J184CS				Sim		X	R/270k/5%/04	RC1005F274CS	
R42	4.7k	R-US_R0402	R0402	RESISTOR, American symbol				1	1				X	R/4.7K/5%/04	RC1608J472CS	Sim					
R43	4.7k	R-US_R0402	R0402	RESISTOR, American symbol				1	1				X	R/4.7K/5%/04	RC1608J472CS	Sim					
R44	1k	R-US_R0402	R0402	RESISTOR, American symbol				1	1				X	R/1K/5%/04	RC0402JR-071KL	Sim					
R45	2.2k	R-US_R0402	R0402	RESISTOR, American symbol				1	1				X	R/2.2k/5%/04	RC1005J222CS	Sim					
R46	3.3	R-US_R0603	R0603	RESISTOR, American symbol				1	1				X	R/3.3/5%/06	RC1608J3R3CS	Sim					
R47	3.3	R-US_R0603	R0603	RESISTOR, American symbol				1	1				X	R/3.3/5%/06	RC1608J3R3CS	Sim					
