Part	Value	Device	Package	Description	Customer_PN
R37	100	R-US_R0402	R0402	RESISTOR, American symbol	R/100/5%/04
R38	10k	R-US_R0402	R0402	RESISTOR, American symbol	R/10k/5%/04
R39	100k	R-US_R0402	R0402	RESISTOR, American symbol	R/100k/5%/04
R40	100k	R-US_R0402	R0402	RESISTOR, American symbol	R/100k/5%/04
R41	180	R-US_R0402	R0402	RESISTOR, American symbol	R/180/5%/04
R42	180	R-US_R0402	R0402	RESISTOR, American symbol	R/180/5%/04
R43	2.2k	R-US_R0402	R0402	RESISTOR, American symbol	R/2.2k/5%/04
R44	1k	R-US_R0402	R0402	RESISTOR, American symbol	R/1k/5%/04
R45	47k	R-US_R0402	R0402	RESISTOR, American symbol	R/47k/5%/04
RL1	RELE	RELE	RELE	MINIATURE PC BOARD RELAY Form C	-
SG1	F/TMB	F/TMB	F/TMB	BUZZER Source: Buerklin	BUZZER
TOUCH-C		PINHD-1X4	1X04	PIN HEADER	PINH/1x4/180
TOUCH-L		PINHD-1X4	1X04	PIN HEADER	PINH/1x4/180
U1	ATXMEGA8E5-AU	ATXMEGA8E5-AU	TQFP32	ATXmega8e5 edit this description	-
U2	AP1117IE33G-13	AP1117IE33G-13	SOT223-3L		IC/3V3VREG
U3	TLV1117-50CDCYR	TLV1117-50CDCYR	SOT223-3L		IC/5VREG
U4	MFRC52202HN1	MFRC52202HN1	QFN32	Connect-List generated from MFRC522.DEV Variant '' with split-device-symbol.ulp	IC/MFRC52202
VCC	VCC	PTHPAD	HOLE		-
X1	ANTENA 125kHz	22-23-2021	22-23-2021	".100"" (2.54mm) Center Header - 2 Pin"	-
X2	MIFARE ANTENA	22-23-2021	22-23-2021	".100"" (2.54mm) Center Header - 2 Pin"	-
